Programa	Asignatura
Derecho	MECANISMOS DE PROT.Y PART. CIUDADANA                                                                                                                                                                    
Derecho	MEDICINA LEGAL                                                                                                                                                                                          
Derecho	MENTALIDAD DE LIDER LIDERAZGO                                                                                                                                                                           
Derecho	MENTALIDAD EMPRESARIAL E IDEAS DE NEGOCIOS                                                                                                                                                              
Derecho	MERCADEO BASICO                                                                                                                                                                                         
Derecho	MERCADEO CONCEPTUALIZACION METODOLOGIA Y APLICABILIDAD                                                                                                                                                  
Derecho	MERCADEO Y VENTAS                                                                                                                                                                                       
Derecho	MERCADEO Y VENTAS PARA PRESENTACION DE PRODUCTO                                                                                                                                                         
Derecho	MERCADEO Y VENTAS PARA PRESENTACIÓN DE PRODUCTO                                                                                                                                                         
Derecho	MESA, BAR Y COCTELERIA                                                                                                                                                                                  
Derecho	METODOLOGIA Y TECNICAS DE I.C.                                                                                                                                                                          
Derecho	METODOLOGIA Y TECNICAS DE LA I. CIENTIFI                                                                                                                                                                
Derecho	MICROFINANZAS                                                                                                                                                                                           
Derecho	MICROSOFT EXCEL 2010 AVANZADO                                                                                                                                                                           
Derecho	MIGRACIONES INTERNACIONALES                                                                                                                                                                             
Derecho	MULTICULTURALISMO Y DERECHO DE LAS MINORIAS                                                                                                                                                             
Derecho	MULTICULTURALISMO Y DERECHOS DE LAS MINORIAS                                                                                                                                                            
Derecho	NANOTECNOLOGIA Y APLICACIONES                                                                                                                                                                           
Derecho	NEGOCIACION COLECTIVA                                                                                                                                                                                   
Derecho	NEGOCIOS INTERNACIONALES                                                                                                                                                                                
Derecho	NEUROCIENCIA Y DERECHO                                                                                                                                                                                  
Derecho	NOTARIADO Y REGISTRO                                                                                                                                                                                    
Derecho	NOVEDADES Y LIQUIDACIÓN EN SEGURIDAD SOCIAL INTEGRAL                                                                                                                                                    
Derecho	NUEVO LIDER TRANSFORMADOR EN EL AMBIENTE DE FORMACION                                                                                                                                                   
Derecho	OBLIGACIONES DERECHO DE LA RESPONSABILIDAD CIVIL                                                                                                                                                        
Derecho	OMI1.25 OPERADOR GENERAL DEL SISTEMA MUNDIAL DE SOCORRO Y SE                                                                                                                                            
Derecho	OPERACION Y MANTENIMIENTO DE PLANTAS DE POTABILIZACION DE AG                                                                                                                                            
Derecho	OPERACIONES DE CAJA Y SERVICIOS EN ALMANCES DE CADENA                                                                                                                                                   
Derecho	ORALIDAD EN LOS PROCESOS CIVILES                                                                                                                                                                        
Derecho	ORGANIZACION DE ARCHIVOS DE GESTION                                                                                                                                                                     
Derecho	ORGANIZACION DOCUMENTAL EN EL ENTORNO LABORAL                                                                                                                                                           
Derecho	PANADERIA BASICA NIVEL I                                                                                                                                                                                
Derecho	PATCHWORK APLICADO A LA LENCERIA                                                                                                                                                                        
Derecho	PATRIMONIO Y CULTURA                                                                                                                                                                                    
Derecho	PATRONAJE DE FALDA CLASICA                                                                                                                                                                              
Derecho	PEDAGOGIA BASICA PARA ORIENTAR LA FORMACION PROFESIONAL INTE                                                                                                                                            
Derecho	PEDAGOGIA HUMANA                                                                                                                                                                                        
Derecho	PERSPECTIVAS DEL DERECHO URBANISTICO CONTEMPORANEO                                                                                                                                                      
Derecho	PLANEACION ESTRATEGICA DE PROYECTOS                                                                                                                                                                     
Derecho	PLANEAR PROCESOS FOR PRESE ACUERDO CON EL PLAN DE ESTUDIOS L                                                                                                                                            
Derecho	PLURALISMO Y DERECHO                                                                                                                                                                                    
Derecho	POTESTADES SANCIONATORIAS CONTRATOS ESTATALES                                                                                                                                                           
Derecho	POTESTADES SANCIONATORIAS EN LOS CONTRATOS ESTATALES                                                                                                                                                    
Derecho	PREPARACION DE POSTRES NACIONALES                                                                                                                                                                       
Derecho	PRESTACION DE SERVICIO AL CLIENTE EN LENGUA INGLESA AVANZADO                                                                                                                                            
Derecho	PRESTACION DEL SERVICIO DE TRANSPORTE INDIVIDUAL DE PASAJERO                                                                                                                                            
Derecho	PRIMEROS AUXILIOS                                                                                                                                                                                       
Derecho	PRINCIPIOS DE NUTRICION                                                                                                                                                                                 
Derecho	PROBATORIO                                                                                                                                                                                              
Derecho	PROBATORIO I                                                                                                                                                                                            
Derecho	PROBATORIO II                                                                                                                                                                                           
Derecho	PROCESAL ADMINISTRATIVO                                                                                                                                                                                 
Derecho	PROCESAL ADMINISTRATIVO I                                                                                                                                                                               
Derecho	PROCESAL CIVIL ESPECIAL                                                                                                                                                                                 
Derecho	PROCESAL CIVIL ESPECIAL I                                                                                                                                                                               
Derecho	PROCESAL CIVIL ESPECIAL II                                                                                                                                                                              
Derecho	PROCESAL CIVIL GENERAL                                                                                                                                                                                  
Derecho	PROCESAL CIVIL GENERAL I                                                                                                                                                                                
Derecho	PROCESAL CIVIL GENERAL II                                                                                                                                                                               
Derecho	PROCESAL CONSTITUCIONAL                                                                                                                                                                                 
Derecho	PROCESAL LABORAL                                                                                                                                                                                        
Derecho	PROCESAL PENAL                                                                                                                                                                                          
Derecho	PROCESAL PENAL I                                                                                                                                                                                        
Derecho	PROCESAL PENAL II                                                                                                                                                                                       
Derecho	PROCESAMIENTO DE ALIMENTOS PARA EL CONSUMO HUMANO                                                                                                                                                       
Derecho	PROCESOS BASICOS DE PANADERIA                                                                                                                                                                           
Derecho	PROCESOS CIVILES ESPECIALES                                                                                                                                                                             
Derecho	PROCESOS DE CERTIF. O ACRED. DE CALIDAD DEL SERVICIO EDUCATI                                                                                                                                            
Derecho	PROCESOS DE CERTIFICACION O ACREDITACION DE CALIDAD DEL SERV                                                                                                                                            
Derecho	PROCESOS DE REPARACION DE VICTIMA Y RESTITUCION DE TIERRAS                                                                                                                                              
Derecho	PROCESOS DE RESTITUCION Y REPARACION A LAS VICTIMAS                                                                                                                                                     
Derecho	PROCESOS MERCANTILES                                                                                                                                                                                    
Derecho	PRODUCCION DE ALIMENTO CONCENTRADO PARA PECES                                                                                                                                                           
Derecho	PRODUCCION DE IMAGENES DIGITALES                                                                                                                                                                        
Derecho	PROMOCION Y EJERCICIOS DDHH, PARA UNA CULTURA DE PAZ Y RECON                                                                                                                                            
Derecho	PROYECTO DE VIDA                                                                                                                                                                                        
Derecho	PSIQUIATRIA FORENSE                                                                                                                                                                                     
Derecho	RAZONAMIENTO CUANTITATIVO                                                                                                                                                                               
Derecho	RAZONAMIENTO CUANTITATIVO SABER PRO                                                                                                                                                                     
Derecho	RAZONAMIENTO PROBATORIO                                                                                                                                                                                 
Derecho	REDES Y MEDIOS DE TRANSMISION                                                                                                                                                                           
Derecho	REGIMEN DE LOS SERV. PUBLICOS                                                                                                                                                                           
Derecho	REGIMEN DE LOS SERVIDORES PUBLICOS                                                                                                                                                                      
Derecho	REGIMEN LEGAL DE LAS CONCESIONES Y APP ALIANZA PUBLICO PRIVA                                                                                                                                            
Derecho	RELACIONES JURIDICO FAMILIARES                                                                                                                                                                          
Derecho	REORGANIZACION EMPRESARIAL                                                                                                                                                                              
Derecho	RESOLUCION DE CONFLICTOS                                                                                                                                                                                
Derecho	RESPONSABILIDAD CIVIL ADMINISTRATIVA                                                                                                                                                                    
Derecho	RESPONSABILIDAD CIVIL CONTRACTUAL Y EXTRACONTRACTUAL                                                                                                                                                    
Derecho	RESPONSABILIDAD EXTRACONTRACTUAL DEL ESTADO                                                                                                                                                             
Derecho	SALUD OCUPACIONAL Y SEGURIDAD INDUSTRIAL                                                                                                                                                                
Derecho	SALUD OCUPACIONAL: SEGURIDAD Y SALUD EN EL TRABAJO                                                                                                                                                      
Derecho	SEGURIDAD INDUSTRIAL                                                                                                                                                                                    
Derecho	SEGURIDAD SOCIAL                                                                                                                                                                                        
Derecho	SEM. DE PROF. POR LINEA DE ENFASIS EN CONSTI SOC. DEMOC I                                                                                                                                               
Derecho	SENSIBILIZACION HACIA LA SEGURIDAD SOCIAL                                                                                                                                                               
Derecho	SERVICIO AL CLIENTE                                                                                                                                                                                     
Derecho	SERVICIO AL CLIENTE EN LA ORGANIZACION                                                                                                                                                                  
Derecho	SERVICIO AL CLIENTE MEDIANTE LA COMUNICACION TELEFONICA                                                                                                                                                 
Derecho	SERVICIO DE ALIMENTOS Y BEBIDAS                                                                                                                                                                         
Derecho	SERVICIO Y ATENCION AL USUARIO DE TRANSPORTE                                                                                                                                                            
Derecho	SERVICIOS GASTRONOMICOS                                                                                                                                                                                 
Derecho	SERVICIOS PUBLICOS                                                                                                                                                                                      
Derecho	SERVICIOS PUBLICOS DOMICILIARIOS                                                                                                                                                                        
Derecho	SISTEMA DE GESTION DE LA CALIDAD SECTOR PUBLICO:CONOCIMIENTO E IMPL.NORMA NTCGP1000                                                                                                                     
Derecho	SISTEMA DE GESTION DE LA SEGURIDAD Y SALUD  TRABAJO SG-SST                                                                                                                                              
Derecho	SISTEMA DE RESPONSABILIDAD PENAL PARA ADOLESCENTES                                                                                                                                                      
Derecho	SISTEMA DE SEGURIDAD SOCIAL INTEGRAL EN COLOMBIA                                                                                                                                                        
Derecho	SISTEMA POLITICO                                                                                                                                                                                        
Derecho	SISTEMA POLITICO COLOMBIANO                                                                                                                                                                             
Derecho	SISTEMAS DE GESTION DE CALIDAD -SEGURIDAD Y SALUD OCUPACIONAL                                                                                                                                           
Derecho	SISTEMAS DE GESTION DE CALIDAD-SEGURIDAD Y SALUD EN TRABAJO                                                                                                                                             
Derecho	SOCIEDADES I                                                                                                                                                                                            
Derecho	SOCIEDADES II                                                                                                                                                                                           
Derecho	SOCIEDADES MERCANTILES                                                                                                                                                                                  
Derecho	SOCIOLOGIA JURIDICA                                                                                                                                                                                     
Derecho	SOLDADURA ELECTRODO REVES. POSICION PLANA Y HORIZONTAL SOBRE                                                                                                                                            
Derecho	SOLUCION DE CONFLICTOS LABORALES                                                                                                                                                                        
Derecho	SUCESIONES                                                                                                                                                                                              
Derecho	SUMINISTRO DE INFORMACION Y ASESORIA PARA EL CONSUMIDOR FINANCIERO                                                                                                                                      
Derecho	TECNICA CRIMINALISTICA                                                                                                                                                                                  
Derecho	TECNICAS DE COMUNICACION EN EL NIVEL OPERATIVO                                                                                                                                                          
Derecho	TECNICAS DE CORTE Y ESCULPIDO DE CABELLO                                                                                                                                                                
Derecho	TECNICAS DE ESTABLECIMIENTOS JARDINES VERTICALES                                                                                                                                                        
Derecho	TECNICAS DE MESA Y BAR                                                                                                                                                                                  
Derecho	TECNICAS EN VENTAS                                                                                                                                                                                      
Derecho	TECNICAS FUNDAMENTALES FABRICACION PRODUCTOS DE ASEO HIGIENE                                                                                                                                            
Derecho	TECNICAS FUNDAMENTALES PARA FABRIC.PROD.ASEO LIMPIE USO DOME                                                                                                                                            
Derecho	TECNICAS FUNDAMENTALES PARA FABRICACION PRODUCTOS DE ASEO                                                                                                                                               
Derecho	TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION TICS INTERNT                                                                                                                                            
Derecho	TEORIA CONSTITUCIONAL                                                                                                                                                                                   
Derecho	TEORIA CONSTITUCIONAL I                                                                                                                                                                                 
Derecho	TEORIA CONSTITUCIONAL II                                                                                                                                                                                
Derecho	TEORIA DE LA ARG. Y DEL RAZ. JUR.                                                                                                                                                                       
Derecho	TEORIA DE LA ARG. Y RAZ. JUR                                                                                                                                                                            
Derecho	TEORIA DE LA ARG. Y RAZ. JURIDICO                                                                                                                                                                       
Derecho	TEORIA DE LA ARGUMENTACION Y RAZONAMIENTO JURIDICO                                                                                                                                                      
Derecho	TEORIA DE LOS DERECHOS FUNDAMENTALES                                                                                                                                                                    
Derecho	TEORIA ECONOMICA                                                                                                                                                                                        
Derecho	TEORIA GENERAL DEL PROCESO                                                                                                                                                                              
Derecho	TEORIA T TEC. DE NEGOCIACION                                                                                                                                                                            
Derecho	TEORIA Y TEC. DE NEGOCIACION                                                                                                                                                                            
Derecho	TEORIA Y TECNICA DE LA NEGOCIACION                                                                                                                                                                      
Derecho	TEORIA Y TECNICAS DE INVESTIGACION SOCIAL                                                                                                                                                               
Derecho	TEORIAS Y METODOS DE INTERPRETACION JURIDICA Y CONSTITUCIONA                                                                                                                                            
Derecho	TITULOS VALORES                                                                                                                                                                                         
Derecho	TLC COLOMBIA - ESTADOS UNIDOS                                                                                                                                                                           
Derecho	TOMA DE DECISIONES EN NIVEL GERENCIAL                                                                                                                                                                   
Derecho	TOPICO ARGUMENTACION Y LOG. JURIDICA                                                                                                                                                                    
Derecho	TOPICO DE LA ARGUMENTACION Y LOG JURIDICA                                                                                                                                                               
Derecho	TRAMITES LEGALES PARA LA CONSTITUCION DE UNA EMPRESA                                                                                                                                                    
Derecho	TRANSICIONES EXITOSAS PARA PRIMERA INFANCIA                                                                                                                                                             
Derecho	USO DE LA HERRAM OFIMATICA M WORD PARA EL PROCESAMIENTO DE T                                                                                                                                            
Derecho	USO DE M EXCEL P GEST DE INFO, INTEG CON DATOS EXT Y TAR C                                                                                                                                              
Derecho	USO DE MICROSOFT POWER POIN PARA LA GENE. DE PRESENT. PROFES                                                                                                                                            
Derecho	VIDA UNIVERSITARIA                                                                                                                                                                                      
Derecho	VIH SIDA DESAFIO SOCIAL SIGLO XXI                                                                                                                                                                       
Derecho	VITRINISMO: UNA ESTRATEGIA DE COMUNICACION Y MERCADEO                                                                                                                                                   
Derecho	VIVAMOS EL PATRIMONIO                                                                                                                                                                                   
Derecho	WORD BASICO                                                                                                                                                                                             
Derecho	YOGA CALIDAD DE VIDA                                                                                                                                                                                    
Economía	ACTUALIZACION EN HIGIENE,MANIPULACION, Y CONSERV.ALIMENTOS                                                                                                                                              
Economía	ADECUAR EL TERRENO DE ACUERDO A LOS PROD. TEC. CULTIVOS DE H                                                                                                                                            
Economía	ADMINISTRACION DOCUMENTAL EN EL ENTORNO LABORAL                                                                                                                                                         
Economía	ADMINISTRACION FINANCIERA APLICADA PARA MICROEMPRESARIOS                                                                                                                                                
Economía	ADMINISTRACION Y CONTROL DE INVENTARIOS                                                                                                                                                                 
Economía	ADMINISTRACION Y RECUPERACION DE LA CARTERA DE CREDITOS                                                                                                                                                 
Economía	ADMINISTRACIÓN Y RECUPERACIÓN DE LA CARTERA DE CRÉDITOS                                                                                                                                                 
Economía	ADOBE PHOTOSHOP_CS5                                                                                                                                                                                     
Economía	ALIMENTACION NUTRICION Y SALUD                                                                                                                                                                          
Economía	ALISTAMIENTO DE EQUIPOS DE TRANSPORTE URBANO DE PASAJEROS                                                                                                                                               
Economía	ALISTAMIENTO DE MATERIALES Y EQUIPOS BÁSICOS PARA LAB. QUIMI                                                                                                                                            
Economía	ANALISIS DEL SISTEMA DE ADMON DEL RIESGO Y LAVADO DE ACTIVOS Y FINAN. DEL TERRORISMO-SARLAFT                                                                                                            
Economía	ANALISIS FINANCIERO                                                                                                                                                                                     
Economía	ANÁLISIS FINANCIERO                                                                                                                                                                                     
Economía	ANALISIS PARA EL DESARROLLO MOVIL CON APP INVENTOR                                                                                                                                                      
Economía	APLICACION DE FUNCIONES Y COMB MULT EN EXCEL SOLUCION DE PRO                                                                                                                                            
Economía	APLICACION DE HERR DE DIGANOSTICO DE MERC INTERNACIONALES                                                                                                                                               
Economía	APLICACION DE HERRAMIENTAS METODOLOGICAS EN INVESTIGACION:                                                                                                                                              
Economía	APLICACION DE HERRAMIENTAS OFIMATICAS CON MICRO WORD ENTOR L                                                                                                                                            
Economía	APLICACION DE NORMAS TRIBUTARIAS EN MICRO Y PEQUEÑAS EMPRESA                                                                                                                                            
Economía	APLICACION HERRAM METODOLOGICAS EN INVESTIGACION: P.C.T.I.                                                                                                                                              
Economía	APLICACIONES DEL CRM                                                                                                                                                                                    
Economía	APRENDIZ DIGITAL                                                                                                                                                                                        
Economía	ASESORIA PARA EL USO DE LAS TIC EN LA FORMACION                                                                                                                                                         
Economía	ATENCION Y SERVICIO AL CLIENTE EN LA ORGANIZACION                                                                                                                                                       
Economía	AUDITORÍA INFORMÁTICA:CONCEPTUALIZACION                                                                                                                                                                 
Economía	AVANZADO TRABAJO SEGURO EN ALTURA                                                                                                                                                                       
Economía	BASES DE DATOS GENERALIDADES Y SIST DE GESTION                                                                                                                                                          
Economía	BASES DE DATOS GENERALIDADES Y SISTEMAS DE GESTION                                                                                                                                                      
Economía	BASICO DE CONTABILIDAD COSTO Y PRESUPUESTOS                                                                                                                                                             
Economía	BASICO DE CONTABILIDAD COSTOS Y PRESUPUESTO                                                                                                                                                             
Economía	BASICO DE GAS                                                                                                                                                                                           
Economía	BASICO EN EMPRENDIMIENTO                                                                                                                                                                                
Economía	BASICO EN MANEJO Y TRANSPORTE DE MERCANCIAS PELIGROSAS                                                                                                                                                  
Economía	BASICO EN MANTENIMIENTO DE COMPUTADORES                                                                                                                                                                 
Economía	BASICO EN REPARACION DE MOTORES DIESEL                                                                                                                                                                  
Economía	BUENAS PRACTICAS AGRICOLAS                                                                                                                                                                              
Economía	CALCULO E INTERPRETACION DE INDICADORES FINANIEROS                                                                                                                                                      
Economía	CATEDRA EMPRESARIAL COMPLEMENTARIA I                                                                                                                                                                    
Economía	CATEDRA EMPRESARIAL COMPLEMENTARIA II                                                                                                                                                                   
Economía	CATEDRA INSTITUCIONAL                                                                                                                                                                                   
Economía	CATEDRA UNIVERSIDAD DE CARTAGENA                                                                                                                                                                        
Economía	CATEDRA VIRTUAL DE PENSAMIENTO EMPRESARIAL - MODULO I:MENTALIDAD EMP.                                                                                                                                   
Economía	CATEDRA VIRTUAL DE PENSAMIENTO EMPRESARIAL - MODULO III: EMPRESA Y GESTION                                                                                                                              
Economía	CL.LAS ARTES PLASTICAS EN LA CONSTRUCCIÓN                                                                                                                                                               
Economía	CL.SICOLOGIA DEL CONSUMIDOR EN TIEMPOS DIGITALES                                                                                                                                                        
Economía	COCINA BASICA                                                                                                                                                                                           
Economía	COCINA BÁSICA                                                                                                                                                                                           
Economía	COCINA INTERNACIONAL                                                                                                                                                                                    
Economía	COCINA PERUANA                                                                                                                                                                                          
Economía	COMERCIO INTERNACIONAL                                                                                                                                                                                  
Economía	COMPETENCIAS CIUDADANAS SABER PRO                                                                                                                                                                       
Economía	COMPRENSION Y PRODUCCION DE TEXTOS                                                                                                                                                                      
