Programa	Asignatura
Administración de Empresas	CATEDRA VIRTUAL DE PRODUCTIVIDAD Y COMPETITIVIDAD, MODULO 2:                                                                                                                                            
Administración de Empresas	CATEDRA VIRTUAL DE PRODUCTIVIDAD Y COMPETIVIDAD 3                                                                                                                                                       
Administración de Empresas	CINE GUERRA Y POLITICA                                                                                                                                                                                  
Administración de Empresas	CL.LAS ARTES PLASTICAS EN LA CONSTRUCCIÓN                                                                                                                                                               
Administración de Empresas	CLS: MERCADEO Y VENTAS                                                                                                                                                                                  
Administración de Empresas	COCINA BASICA                                                                                                                                                                                           
Administración de Empresas	COCINA BÁSICA                                                                                                                                                                                           
Administración de Empresas	COCINA BASICA NIVEL 1                                                                                                                                                                                   
Administración de Empresas	COCINA CALIENTE Y FRIA                                                                                                                                                                                  
Administración de Empresas	COCINA DEL GRAN CARIBE                                                                                                                                                                                  
Administración de Empresas	COCINA INTERNACIONAL                                                                                                                                                                                    
Administración de Empresas	COCINA PERUANA                                                                                                                                                                                          
Administración de Empresas	COCINA SALUDABLE                                                                                                                                                                                        
Administración de Empresas	COCINA TIPICA COLOMBIANA                                                                                                                                                                                
Administración de Empresas	COCINA VEGETARIANA                                                                                                                                                                                      
Administración de Empresas	CODIGOS Y NORMAS DE SOLDADURA                                                                                                                                                                           
Administración de Empresas	COMERCIALIZACION DE PRODUCTOS TEXTILES                                                                                                                                                                  
Administración de Empresas	COMISION DE PERSONAL PARA SERVIDORES PUBLICOS                                                                                                                                                           
Administración de Empresas	COMPETENCIAS CIUDADANAS SABER PRO                                                                                                                                                                       
Administración de Empresas	COMPETENCIAS PEDAG.PROMOCION DERECHOS SEXUALES Y REPRODUCTIV                                                                                                                                            
Administración de Empresas	COMPORTAMIENTO EMPRENDEDOR                                                                                                                                                                              
Administración de Empresas	COMPORTAMIENTO ORGANIZACIONAL                                                                                                                                                                           
Administración de Empresas	COMPRENSIÓN LECTORA, REDACCIÓN, EXPRESIÓN ORAL Y CORPORAL                                                                                                                                               
Administración de Empresas	COMPRENSION Y PRODUCCION DE TEXTOS                                                                                                                                                                      
Administración de Empresas	COMPRENSIÓN Y PRODUCCIÓN DE TEXTOS                                                                                                                                                                      
Administración de Empresas	COMPRENSION Y PRODUCCION DE TEXTOS II                                                                                                                                                                   
Administración de Empresas	COMUNICACION EN INGLES A1.1/PRICIPIANTE                                                                                                                                                                 
Administración de Empresas	COMUNICACION EN INGLES A2.1/ BASICO                                                                                                                                                                     
Administración de Empresas	COMUNICACION I ORAL Y ESCRITA                                                                                                                                                                           
Administración de Empresas	COMUNICACION ORAL Y ESCRITA                                                                                                                                                                             
Administración de Empresas	COMUNICACION ORGANIZACIONAL                                                                                                                                                                             
Administración de Empresas	COMUNICACIONES ANALOGICAS                                                                                                                                                                               
Administración de Empresas	CONFECCION DE LENCERIA HOGAR                                                                                                                                                                            
Administración de Empresas	CONFORMACION DE BRIGADAS DE EMERGENCIA.                                                                                                                                                                 
Administración de Empresas	CONSERVACION DE FRUTAS Y VERDURAS                                                                                                                                                                       
Administración de Empresas	CONSTRUCCION DE ACTIVIDADES DE APRENDIZAJES INTEGRANDO TIC                                                                                                                                              
Administración de Empresas	CONTABILIDAD ADMINISTRATIVA                                                                                                                                                                             
Administración de Empresas	CONTABILIDAD ADMINISTRATIVA Y COSTOS                                                                                                                                                                    
Administración de Empresas	CONTABILIDAD BASICA                                                                                                                                                                                     
Administración de Empresas	CONTABILIDAD DE GESTIÓN AVANZADA                                                                                                                                                                        
Administración de Empresas	CONTABILIDAD DE INVENTARIOS                                                                                                                                                                             
Administración de Empresas	CONTABILIDAD DE OPERACIONES                                                                                                                                                                             
Administración de Empresas	CONTABILIDAD FINANCIERA                                                                                                                                                                                 
Administración de Empresas	CONTABILIDAD INTERNACIONAL-ELECTIVA                                                                                                                                                                     
Administración de Empresas	CONTABILIDAD TRIBUTARIA                                                                                                                                                                                 
Administración de Empresas	CONTABILIDAD Y FINANZAS PUBLICAS                                                                                                                                                                        
Administración de Empresas	CONTABILIDAD: RECONOCIMIENTO DE RECURSOS FINANCIEROS                                                                                                                                                    
Administración de Empresas	CONTAMINACION AMBIENTAL                                                                                                                                                                                 
Administración de Empresas	CONTROL DE INVENTARIOS CON HERRAMIENTAS DIGITALES                                                                                                                                                       
Administración de Empresas	CONTROL DE LA PRODUCCION                                                                                                                                                                                
Administración de Empresas	CONTROL ESTADISTICO DE LA CALIDAD                                                                                                                                                                       
Administración de Empresas	CONTROL INTERNO                                                                                                                                                                                         
Administración de Empresas	CONTROLES Y SEGURIDAD INFORMATICA                                                                                                                                                                       
Administración de Empresas	CONVERSATIONS IN ENGLISH                                                                                                                                                                                
Administración de Empresas	COOPERATIVISMO BASICO Y ASOCIATIVIDAD                                                                                                                                                                   
Administración de Empresas	COORDINADOR DE TRABAJO SEGURO EN ALTURAS                                                                                                                                                                
Administración de Empresas	COORDINAR EL TALENTO HUMANO Y TRABAJO EN EQUIPO                                                                                                                                                         
Administración de Empresas	CORTE Y PORCIONADO DE CARNES                                                                                                                                                                            
Administración de Empresas	COSTOS Y PRESUPUESTOS PARA CONSTRUCCION                                                                                                                                                                 
Administración de Empresas	COSTOS Y PRESUPUESTOS PARA EDIFICACIONES II: COSTOS DIRECTOS                                                                                                                                            
Administración de Empresas	COSTOS Y PRESUPUESTOS PARA EDIFICACIONES III: ADMINISTRACION                                                                                                                                            
Administración de Empresas	COSTOS Y PRESUPUESTOS PARA EDIFICACIONES MODULO I: GENERALIDADES                                                                                                                                        
Administración de Empresas	CREACION DE BLOGGER                                                                                                                                                                                     
Administración de Empresas	CREATIVIDAD PARA LA SOLUCIÓN DE CONFLICTOS                                                                                                                                                              
Administración de Empresas	CRM-LA ADMINISTRACION DE LA RELACION CON LOS CLIENTES                                                                                                                                                   
Administración de Empresas	CUENTAS CONTABLES                                                                                                                                                                                       
Administración de Empresas	CULTIVO DE PALMA DE ACEITE                                                                                                                                                                              
Administración de Empresas	CULTURA ITALIANA                                                                                                                                                                                        
Administración de Empresas	CURSO INTRODUCTORIO A LA FORMACION PROFESIONAL INTEGRAL                                                                                                                                                 
Administración de Empresas	CURSO LIBRE - COMPRENSIÓN LECTORA                                                                                                                                                                       
Administración de Empresas	CURSO LIBRE - ESCRITURA CREATIVA                                                                                                                                                                        
Administración de Empresas	CURSO LIBRE - PRESUPUESTO PUBLICO                                                                                                                                                                       
Administración de Empresas	CURSO LIBRE ANALISIS FINANCIERO                                                                                                                                                                         
Administración de Empresas	CURSO LIBRE ARTE MUSICAL                                                                                                                                                                                
Administración de Empresas	CURSO LIBRE DE EXCEL AVANZADO                                                                                                                                                                           
Administración de Empresas	CURSO LIBRE DE HABILITADES DE PENSAMIENTO                                                                                                                                                               
Administración de Empresas	CURSO LIBRE ECONOMIA SOLIDARIA                                                                                                                                                                          
